[
[0,30,1,1,0.45977,inf,2.71875e-07,2.71875e-07],
[0,30,2,2,0.659574,4.90689,1.46875e-07,2.09375e-07],
[0,30,3,3,0.64,3.0959,1.5625e-07,1.91667e-07],
[0,30,4,4,0.717391,2.45345,1.4375e-07,1.79688e-07],
[0,30,5,5,0.645833,2.11328,1.5e-07,1.7375e-07],
[0,30,10,10,0.64,1.47712,1.5625e-07,1.70833e-07],
[0,30,20,20,0.711111,1.13535,1.40625e-07,1.66518e-07],
[0,30,50,30,0.603774,1,1.65625e-07,1.66406e-07],
[0,30,100,30,0.761905,1,1.3125e-07,1.625e-07],
[0,30,200,30,0.744186,1,1.34375e-07,1.59688e-07],
[0,30,500,30,0.727273,1,1.375e-07,1.5767e-07],
[0,30,1000,30,0.744186,1,1.34375e-07,1.55729e-07],
[0,30,30,30,0.615385,1,1.625e-07,1.5625e-07],
[1,30,1,1,0.809524,inf,1.3125e-07,1.3125e-07],
[1,30,2,2,0.627907,4.90689,1.34375e-07,1.32812e-07],
[1,30,3,3,0.595238,3.0959,1.3125e-07,1.32292e-07],
[1,30,4,4,0.789474,2.45345,1.1875e-07,1.28906e-07],
[1,30,5,5,0.714286,2.11328,1.3125e-07,1.29375e-07],
[1,30,10,10,0.627907,1.47712,1.34375e-07,1.30208e-07],
[1,30,20,20,0.666667,1.13535,1.3125e-07,1.30357e-07],
[1,30,50,30,0.717949,1,1.21875e-07,1.29297e-07],
[1,30,100,30,0.7,1,1.25e-07,1.28819e-07],
[1,30,200,30,0.725,1,1.25e-07,1.28438e-07],
[1,30,500,30,0.634146,1,1.28125e-07,1.28409e-07],
[1,30,1000,30,0.7,1,1.25e-07,1.28125e-07],
[1,30,30,30,0.658537,1,1.28125e-07,1.28125e-07],
[2,30,1,1,0.904762,inf,1.3125e-07,1.3125e-07],
[2,30,2,2,0.820513,4.90689,1.21875e-07,1.26563e-07],
[2,30,3,3,0.680851,3.0959,1.46875e-07,1.33333e-07],
[2,30,4,4,0.871795,2.45345,1.21875e-07,1.30469e-07],
[2,30,5,5,0.772727,2.11328,1.375e-07,1.31875e-07],
[2,30,10,10,0.761905,1.47712,1.3125e-07,1.31771e-07],
[2,30,20,20,0.925,1.13535,1.25e-07,1.30804e-07],
[2,30,50,30,0.897436,1,1.21875e-07,1.29688e-07],
[2,30,100,30,0.744186,1,1.34375e-07,1.30208e-07],
[2,30,200,30,0.853659,1,1.28125e-07,1.3e-07],
[2,30,500,30,0.804878,1,1.28125e-07,1.2983e-07],
[2,30,1000,30,0.75,1,1.375e-07,1.30469e-07],
[2,30,30,30,0.780488,1,1.28125e-07,1.30288e-07],
[3,30,1,1,0.777778,inf,1.40625e-07,1.40625e-07],
[3,30,2,2,0.861111,4.90689,1.125e-07,1.26563e-07],
[3,30,3,3,0.731707,3.0959,1.28125e-07,1.27083e-07],
[3,30,4,4,0.842105,2.45345,1.1875e-07,1.25e-07],
[3,30,5,5,0.74359,2.11328,1.21875e-07,1.24375e-07],
[3,30,10,10,0.75,1.47712,1.25e-07,1.24479e-07],
[3,30,20,20,0.775,1.13535,1.25e-07,1.24554e-07],
[3,30,50,30,0.738095,1,1.3125e-07,1.25391e-07],
[3,30,100,30,0.704545,1,1.375e-07,1.26736e-07],
[3,30,200,30,0.738095,1,1.3125e-07,1.27188e-07],
[3,30,500,30,0.731707,1,1.28125e-07,1.27273e-07],
[3,30,1000,30,0.75,1,1.25e-07,1.27083e-07],
[3,30,30,30,0.820513,1,1.21875e-07,1.26683e-07],
[4,30,1,1,0.829787,inf,1.46875e-07,1.46875e-07],
[4,30,2,2,0.679245,4.90689,1.65625e-07,1.5625e-07],
[4,30,3,3,0.761905,3.0959,1.3125e-07,1.47917e-07],
[4,30,4,4,0.780488,2.45345,1.28125e-07,1.42969e-07],
[4,30,5,5,0.75,2.11328,1.375e-07,1.41875e-07],
[4,30,10,10,0.75,1.47712,1.75e-07,1.47396e-07],
[4,30,20,20,0.875,1.13535,1.25e-07,1.44196e-07],
[4,30,50,30,0.708333,1,1.5e-07,1.44922e-07],
[4,30,100,30,0.825,1,1.25e-07,1.42708e-07],
[4,30,200,30,1.04651,1,1.34375e-07,1.41875e-07],
[4,30,500,30,0.85,1,1.25e-07,1.40341e-07],
[4,30,1000,30,0.795455,1,1.375e-07,1.40104e-07],
[4,30,30,30,0.72093,1,1.34375e-07,1.39663e-07],
[5,30,1,1,0.804348,inf,1.4375e-07,1.4375e-07],
[5,30,2,2,0.785714,4.90689,1.3125e-07,1.375e-07],
[5,30,3,3,0.75,3.0959,1.375e-07,1.375e-07],
[5,30,4,4,0.767442,2.45345,1.34375e-07,1.36719e-07],
[5,30,5,5,0.711111,2.11328,1.40625e-07,1.375e-07],
[5,30,10,10,0.72093,1.47712,1.34375e-07,1.36979e-07],
[5,30,20,20,0.744186,1.13535,1.34375e-07,1.36607e-07],
[5,30,50,30,0.738095,1,1.3125e-07,1.35938e-07],
[5,30,100,30,0.733333,1,1.40625e-07,1.36458e-07],
[5,30,200,30,0.785714,1,1.3125e-07,1.35938e-07],
[5,30,500,30,0.813953,1,1.34375e-07,1.35795e-07],
[5,30,1000,30,0.809524,1,1.3125e-07,1.35417e-07],
[5,30,30,30,0.72093,1,1.34375e-07,1.35337e-07],
[6,30,1,1,0.8,inf,1.40625e-07,1.40625e-07],
[6,30,2,2,0.72093,4.90689,1.34375e-07,1.375e-07],
[6,30,3,3,0.756098,3.0959,1.28125e-07,1.34375e-07],
[6,30,4,4,0.72093,2.45345,1.34375e-07,1.34375e-07],
[6,30,5,5,0.785714,2.11328,1.3125e-07,1.3375e-07],
[6,30,10,10,0.727273,1.47712,1.375e-07,1.34375e-07],
[6,30,20,20,0.744186,1.13535,1.34375e-07,1.34375e-07],
[6,30,50,30,0.825,1,1.25e-07,1.33203e-07],
[6,30,100,30,0.711111,1,1.40625e-07,1.34028e-07],
[6,30,200,30,0.829268,1,1.28125e-07,1.33437e-07],
[6,30,500,30,0.744186,1,1.34375e-07,1.33523e-07],
[6,30,1000,30,0.761905,1,1.3125e-07,1.33333e-07],
[6,30,30,30,0.744186,1,1.34375e-07,1.33413e-07],
[7,30,1,1,0.822222,inf,1.40625e-07,1.40625e-07],
[7,30,2,2,0.673913,4.90689,1.4375e-07,1.42188e-07],
[7,30,3,3,0.767442,3.0959,1.34375e-07,1.39583e-07],
[7,30,4,4,0.695652,2.45345,1.4375e-07,1.40625e-07],
[7,30,5,5,0.761905,2.11328,1.3125e-07,1.3875e-07],
[7,30,10,10,0.727273,1.47712,1.375e-07,1.38542e-07],
[7,30,20,20,0.756098,1.13535,1.28125e-07,1.37054e-07],
[7,30,50,30,0.761905,1,1.3125e-07,1.36328e-07],
[7,30,100,30,0.8,1,1.5625e-07,1.38542e-07],
[7,30,200,30,0.733333,1,1.40625e-07,1.3875e-07],
[7,30,500,30,0.785714,1,1.3125e-07,1.38068e-07],
[7,30,1000,30,0.704545,1,1.375e-07,1.38021e-07],
[7,30,30,30,0.780488,1,1.28125e-07,1.3726e-07],
[8,30,1,1,0.8,inf,1.5625e-07,1.5625e-07],
[8,30,2,2,0.75,4.90689,1.25e-07,1.40625e-07],
