[
[0,30,1,1,0.9375,inf,1.5e-07,1.5e-07],
[0,30,2,2,0.953488,4.90689,1.34375e-07,1.42188e-07],
[0,30,3,3,1,3.0959,1.375e-07,1.40625e-07],
[0,30,4,4,0.977273,2.45345,1.375e-07,1.39844e-07],
[0,30,5,5,0.977273,2.11328,1.375e-07,1.39375e-07],
[0,30,10,10,0.911111,1.47712,1.40625e-07,1.39583e-07],
[0,30,20,20,0.977778,1.13535,1.40625e-07,1.39732e-07],
[0,30,50,30,1.07143,1,1.3125e-07,1.38672e-07],
[0,30,100,30,0.955556,1,1.40625e-07,1.38889e-07],
[0,30,200,30,1.02381,1,1.3125e-07,1.38125e-07],
[0,30,500,30,0.909091,1,1.71875e-07,1.41193e-07],
[0,30,1000,30,1.04762,1,1.3125e-07,1.40365e-07],
[0,30,30,30,0.976744,1,1.34375e-07,1.39904e-07],
[1,30,1,1,1.05263,inf,1.1875e-07,1.1875e-07],
[1,30,2,2,1,4.90689,1.28125e-07,1.23438e-07],
[1,30,3,3,0.97561,3.0959,1.28125e-07,1.25e-07],
[1,30,4,4,0.974359,2.45345,1.21875e-07,1.24219e-07],
[1,30,5,5,0.902439,2.11328,1.28125e-07,1.25e-07],
[1,30,10,10,1.2,1.47712,1.09375e-07,1.22396e-07],
[1,30,20,20,0.840909,1.13535,1.375e-07,1.24554e-07],
[1,30,50,30,1.025,1,1.25e-07,1.24609e-07],
[1,30,100,30,1.13889,1,1.125e-07,1.23264e-07],
[1,30,200,30,1.13514,1,1.15625e-07,1.225e-07],
[1,30,500,30,0.974359,1,1.21875e-07,1.22443e-07],
[1,30,1000,30,1.13158,1,1.1875e-07,1.22135e-07],
[1,30,30,30,1,1,1.1875e-07,1.21875e-07],
[2,30,1,1,0.934783,inf,1.4375e-07,1.4375e-07],
[2,30,2,2,0.97561,4.90689,1.28125e-07,1.35938e-07],
[2,30,3,3,0.953488,3.0959,1.34375e-07,1.35417e-07],
[2,30,4,4,1.05,2.45345,1.25e-07,1.32812e-07],
[2,30,5,5,1.04878,2.11328,1.28125e-07,1.31875e-07],
[2,30,10,10,1,1.47712,1.3125e-07,1.31771e-07],
[2,30,20,20,1,1.13535,1.28125e-07,1.3125e-07],
[2,30,50,30,1.02439,1,1.28125e-07,1.30859e-07],
[2,30,100,30,1.02381,1,1.3125e-07,1.30903e-07],
[2,30,200,30,1.07317,1,1.28125e-07,1.30625e-07],
[2,30,500,30,0.931818,1,1.375e-07,1.3125e-07],
[2,30,1000,30,0.953488,1,1.34375e-07,1.3151e-07],
[2,30,30,30,0.976744,1,1.34375e-07,1.31731e-07],
[3,30,1,1,0.716981,inf,1.65625e-07,1.65625e-07],
[3,30,2,2,0.860465,4.90689,1.34375e-07,1.5e-07],
[3,30,3,3,1.37143,3.0959,1.09375e-07,1.36458e-07],
[3,30,4,4,1.31429,2.45345,1.09375e-07,1.29688e-07],
[3,30,5,5,0.666667,2.11328,1.59375e-07,1.35625e-07],
[3,30,10,10,0.952381,1.47712,1.3125e-07,1.34896e-07],
[3,30,20,20,1.28571,1.13535,1.09375e-07,1.3125e-07],
[3,30,50,30,1.5,1,1e-07,1.27344e-07],
[3,30,100,30,1.26471,1,1.0625e-07,1.25e-07],
[3,30,200,30,0.653061,1,1.53125e-07,1.27813e-07],
[3,30,500,30,1.29412,1,1.0625e-07,1.25852e-07],
[3,30,1000,30,1.26471,1,1.0625e-07,1.24219e-07],
[3,30,30,30,0.888889,1,1.125e-07,1.23317e-07],
